event_id,timestamp,cloud_provider,resource_type,action,actor_type,actor_name,source_ip,region,mfa_used,outcome,severity,risk_score,session_duration_s,anomaly_label
evt-0000065,2025-04-02T05:42:45Z,gcp,storage.buckets,iam.serviceAccounts.create,service_account,svc-account-010,10.1.192.181,us-east1,True,Denied,low,37.31,,0
evt-0000066,2025-04-02T05:43:30Z,azure,Microsoft.Web/sites,Microsoft.Resources/deployments/write,service_account,svc-account-013,192.168.0.64.201,westeurope,True,Success,medium,32.07,,0
evt-0000067,2025-04-02T05:56:00Z,aws,s3:Bucket,DescribeInstances,service_account,svc-account-023,192.168.1.41.175,us-west-2,True,Success,low,21.58,,0
evt-0000068,2025-04-02T06:25:52Z,azure,Microsoft.Sql/servers,Microsoft.Web/sites/write,user,user-0078,192.168.1.212.152,southeastasia,True,Success,low,21.28,13228.0,0
evt-0000069,2025-04-02T06:26:34Z,azure,Microsoft.Web/sites,Microsoft.Authorization/roleAssignments/write,user,user-0118,192.168.1.11.101,westus2,True,Success,medium,44.83,16399.0,0
evt-0000070,2025-04-02T06:30:00Z,azure,Microsoft.Network/networkSecurityGroups,Microsoft.Compute/virtualMachines/delete,assumed_role,assumed-role/deploy-role-012,172.16.210.62,westeurope,False,Success,high,99.1,6278.0,1
evt-0000071,2025-04-02T06:30:11Z,aws,lambda:Function,RunInstances,service_account,svc-account-006,172.16.195.238,eu-west-1,True,Success,low,12.28,,0
evt-0000072,2025-04-02T06:33:56Z,azure,Microsoft.KeyVault/vaults,Microsoft.Compute/virtualMachines/write,user,user-0144,10.1.80.78,westeurope,False,Success,low,13.88,2093.0,0
evt-0000073,2025-04-02T06:34:21Z,aws,iam:Role,RunInstances,user,user-0033,172.16.249.151,us-east-1,True,Success,low,16.88,5534.0,0
evt-0000074,2025-04-02T06:34:50Z,aws,s3:Bucket,GetSecretValue,service_account,svc-account-029,10.0.244.126,ap-southeast-1,True,Success,critical,54.71,,0
evt-0000075,2025-04-02T06:39:09Z,azure,Microsoft.Network/networkSecurityGroups,Microsoft.Compute/virtualMachines/delete,assumed_role,assumed-role/deploy-role-010,172.16.22.15,southeastasia,True,Success,medium,45.36,21946.0,0
evt-0000076,2025-04-02T06:43:17Z,aws,cloudtrail:Trail,DeleteUser,user,user-0138,192.168.1.181.148,us-east-2,False,Success,medium,20.09,7673.0,0
evt-0000077,2025-04-02T06:48:00Z,azure,Microsoft.Compute/virtualMachines,Microsoft.Compute/virtualMachines/write,user,user-0105,10.1.96.91,northeurope,False,Denied,medium,39.43,25281.0,0
evt-0000078,2025-04-02T07:08:24Z,aws,lambda:Function,AttachRolePolicy,user,user-0050,172.17.41.226,eu-west-1,True,Success,low,21.95,26944.0,0
evt-0000079,2025-04-02T07:09:31Z,aws,iam:Role,DescribeInstances,user,user-0111,45.33.252.204,us-west-2,False,Success,medium,72.54,7567.0,1
evt-0000080,2025-04-02T07:13:14Z,azure,Microsoft.KeyVault/vaults,Microsoft.Compute/virtualMachines/write,assumed_role,assumed-role/deploy-role-007,10.0.7.31,eastus,False,Success,low,28.22,26916.0,0
evt-0000081,2025-04-02T07:18:18Z,gcp,compute.instances,storage.buckets.setIamPolicy,service_account,svc-account-019,192.168.0.113.6,us-central1,True,Success,medium,53.71,,0
evt-0000082,2025-04-02T07:27:39Z,gcp,iam.serviceAccounts,iam.serviceAccounts.keys.create,user,user-0027,10.0.168.11,asia-east1,False,Denied,medium,53.47,13230.0,0
evt-0000083,2025-04-02T07:37:24Z,aws,kms:Key,TerminateInstances,user,user-0111,10.0.226.66,us-east-2,True,Success,low,26.77,6167.0,0
evt-0000084,2025-04-02T07:39:40Z,azure,Microsoft.Sql/servers,Microsoft.Compute/disks/write,user,user-0104,192.168.1.209.88,westus2,True,Success,low,11.77,18296.0,0
evt-0000085,2025-04-02T07:42:29Z,gcp,cloudsql.instances,storage.buckets.setIamPolicy,assumed_role,assumed-role/deploy-role-004,192.168.0.152.77,us-east1,True,Success,medium,64.33,27534.0,0
evt-0000086,2025-04-02T07:42:40Z,aws,rds:Instance,DescribeInstances,assumed_role,assumed-role/deploy-role-001,192.168.1.97.36,us-east-1,True,Denied,low,43.0,19461.0,0
evt-0000087,2025-04-02T07:46:35Z,azure,Microsoft.Storage/storageAccounts,Microsoft.Authorization/policyAssignments/write,user,user-0114,172.17.25.63,southeastasia,True,Success,low,16.7,12049.0,0
evt-0000088,2025-04-02T08:13:52Z,aws,lambda:Function,AttachRolePolicy,user,user-0005,10.0.113.30,ap-southeast-1,False,Success,low,14.85,8902.0,0
evt-0000089,2025-04-02T08:15:26Z,azure,Microsoft.Storage/storageAccounts,Microsoft.KeyVault/vaults/secrets/read,root,root,10.0.26.253,southeastasia,True,Success,high,59.91,,0
evt-0000090,2025-04-02T08:18:50Z,gcp,iam.serviceAccounts,iam.serviceAccounts.create,service_account,svc-account-023,10.0.23.243,asia-east1,False,Success,low,14.39,,0
evt-0000091,2025-04-02T08:19:20Z,azure,Microsoft.Authorization/roleAssignments,Microsoft.Authorization/policyAssignments/write,user,user-0076,10.1.18.16,westus2,False,Success,high,36.39,17130.0,0
evt-0000092,2025-04-02T08:26:18Z,gcp,iam.serviceAccounts,storage.buckets.delete,service_account,svc-account-021,10.0.219.174,us-central1,True,Success,medium,24.46,,0
evt-0000093,2025-04-02T08:38:03Z,aws,kms:Key,DescribeInstances,service_account,svc-account-023,10.0.105.203,ap-southeast-1,True,Success,low,22.57,,0
evt-0000094,2025-04-02T08:40:33Z,aws,vpc:SecurityGroup,TerminateInstances,api_key,user-0079,10.1.33.46,eu-west-1,False,Success,high,28.53,,0
evt-0000095,2025-04-02T08:46:20Z,aws,ec2:Instance,CreateUser,user,user-0108,192.168.1.43.99,eu-central-1,True,Success,low,15.53,11176.0,0
evt-0000096,2025-04-02T08:47:04Z,azure,Microsoft.Storage/storageAccounts,Microsoft.Compute/virtualMachines/delete,user,user-0030,10.1.10.178,southeastasia,False,Success,low,14.2,8035.0,0
evt-0000097,2025-04-02T08:50:52Z,azure,Microsoft.Authorization/roleAssignments,Microsoft.Compute/virtualMachines/write,service_account,svc-account-009,10.0.117.219,eastus,False,Success,medium,25.61,,0
evt-0000098,2025-04-02T08:54:37Z,aws,lambda:Function,ModifyInstanceAttribute,user,user-0058,10.1.151.151,eu-central-1,True,Success,low,14.53,18968.0,0
evt-0000099,2025-04-02T08:57:39Z,aws,elb:LoadBalancer,PutBucketPublicAccessBlock,service_account,svc-account-028,172.17.7.136,us-east-1,False,Success,medium,25.78,,0
evt-0000100,2025-04-02T08:58:21Z,aws,kms:Key,CreateKeyPair,service_account,svc-account-028,10.0.119.240,eu-central-1,True,Success,low,9.09,,0
evt-0000101,2025-04-02T08:59:41Z,aws,kms:Key,CreateRole,service_account,svc-account-002,10.1.213.231,us-east-1,False,Success,low,24.61,,0
evt-0000102,2025-04-02T09:00:05Z,aws,elb:LoadBalancer,CreateRole,service_account,svc-account-023,172.16.170.197,us-east-1,False,Success,medium,22.48,,0
evt-0000103,2025-04-02T09:14:01Z,aws,elb:LoadBalancer,PutBucketPublicAccessBlock,service_account,svc-account-027,172.16.164.165,ap-southeast-1,True,Success,low,16.03,,0
evt-0000104,2025-04-02T09:19:37Z,azure,Microsoft.Web/sites,Microsoft.Compute/disks/write,user,user-0058,172.16.237.98,westus2,False,Success,low,16.76,17817.0,0
evt-0000105,2025-04-02T09:29:16Z,azure,Microsoft.Sql/servers,Microsoft.Compute/virtualMachines/delete,service_account,svc-account-004,192.168.1.64.80,eastus,True,Success,low,13.62,,0
evt-0000106,2025-04-02T09:29:37Z,gcp,iam.serviceAccounts,logging.sinks.delete,service_account,svc-account-008,10.0.87.93,us-east1,True,Failure,high,63.58,,0
evt-0000107,2025-04-02T09:35:16Z,azure,Microsoft.Authorization/roleAssignments,Microsoft.Sql/servers/write,user,user-0039,172.16.113.160,westus2,True,Success,low,14.57,17321.0,0
evt-0000108,2025-04-02T09:48:29Z,azure,Microsoft.Storage/storageAccounts,Microsoft.Storage/storageAccounts/write,assumed_role,assumed-role/deploy-role-007,172.17.213.179,westus2,True,Failure,medium,39.82,13716.0,0
evt-0000109,2025-04-02T09:49:00Z,azure,Microsoft.Network/networkSecurityGroups,Microsoft.Storage/storageAccounts/write,user,user-0056,192.168.0.223.237,southeastasia,True,Success,medium,21.67,19581.0,0
evt-0000110,2025-04-02T09:49:19Z,azure,Microsoft.Compute/virtualMachines,Microsoft.KeyVault/vaults/secrets/read,user,user-0014,203.0.151.10,southeastasia,False,Success,critical,94.88,23400.0,1
evt-0000111,2025-04-02T09:49:42Z,gcp,cloudrun.services,compute.instances.insert,assumed_role,assumed-role/deploy-role-001,172.17.46.12,asia-east1,True,Success,high,60.76,19497.0,0
evt-0000112,2025-04-02T10:25:13Z,azure,Microsoft.Network/networkSecurityGroups,Microsoft.Sql/servers/write,user,user-0145,10.0.124.138,westeurope,False,Success,medium,28.99,3811.0,0
evt-0000113,2025-04-02T10:25:32Z,aws,iam:Role,DisableCloudtrailLogging,service_account,svc-account-024,192.168.1.47.74,us-east-1,False,Denied,low,45.26,,0
evt-0000114,2025-04-02T10:26:35Z,aws,ec2:Instance,DescribeInstances,root,root,10.0.149.183,eu-west-1,True,Success,high,58.98,,0
evt-0000115,2025-04-02T10:41:35Z,aws,ec2:Instance,PutPublicAccessBlock,user,user-0111,172.16.211.221,eu-west-1,True,Denied,low,50.13,26315.0,0
evt-0000116,2025-04-02T10:44:49Z,aws,kms:Key,DescribeInstances,user,user-0053,192.168.0.175.25,us-east-2,True,Success,low,18.02,16435.0,0
evt-0000117,2025-04-02T10:45:49Z,aws,s3:Bucket,DeleteBucket,service_account,svc-account-003,10.0.117.247,us-west-2,True,Success,medium,23.26,,0
evt-0000118,2025-04-02T10:52:14Z,azure,Microsoft.Sql/servers,Microsoft.Authorization/roleDefinitions/write,user,user-0037,10.0.114.83,eastus,True,Success,low,14.06,24461.0,0
evt-0000119,2025-04-02T10:56:02Z,aws,elb:LoadBalancer,RunInstances,service_account,svc-account-010,172.17.250.185,us-west-2,True,Failure,high,34.06,,0
evt-0000120,2025-04-02T10:56:23Z,aws,iam:User,DeleteUser,user,user-0096,192.168.1.17.222,ap-southeast-1,True,Success,medium,25.57,27754.0,0
evt-0000121,2025-04-02T10:58:42Z,aws,vpc:SecurityGroup,CreateUser,user,user-0066,172.16.173.77,us-east-1,True,Success,medium,15.38,11836.0,0
evt-0000122,2025-04-02T11:02:33Z,azure,Microsoft.Sql/servers,Microsoft.Authorization/roleDefinitions/write,service_account,svc-account-024,10.0.45.32,westus2,True,Success,low,10.58,,0
evt-0000123,2025-04-02T11:03:53Z,gcp,storage.buckets,iam.serviceAccounts.keys.create,service_account,svc-account-019,172.17.10.234,europe-west1,True,Success,high,62.4,,0
evt-0000124,2025-04-02T11:05:28Z,gcp,cloudrun.services,iam.serviceAccounts.keys.create,assumed_role,assumed-role/deploy-role-014,192.168.0.79.49,us-east1,True,Success,low,40.02,14222.0,0
evt-0000125,2025-04-02T11:11:26Z,aws,s3:Bucket,CreateRole,service_account,svc-account-014,172.16.150.31,us-east-1,True,Denied,low,24.38,,0
evt-0000126,2025-04-02T11:13:19Z,aws,lambda:Function,PutPublicAccessBlock,user,user-0005,172.16.56.15,us-west-2,False,Failure,low,42.63,18133.0,0
evt-0000127,2025-04-02T11:16:05Z,aws,ec2:Instance,DisableCloudtrailLogging,assumed_role,assumed-role/deploy-role-002,192.168.0.57.47,us-east-1,True,Failure,low,43.82,24837.0,0
evt-0000128,2025-04-02T11:24:08Z,azure,Microsoft.Web/sites,Microsoft.Compute/virtualMachines/write,service_account,svc-account-009,172.17.114.152,westeurope,False,Success,medium,29.27,,0
evt-0000129,2025-04-02T11:36:57Z,gcp,cloudsql.instances,resourcemanager.projects.setIamPolicy,user,user-0004,192.168.1.21.53,us-central1,True,Success,medium,46.38,3073.0,0
evt-0000130,2025-04-02T11:43:00Z,aws,lambda:Function,CreateUser,service_account,svc-account-019,172.17.237.77,us-east-1,True,Success,high,41.42,,0
evt-0000131,2025-04-02T11:47:54Z,aws,iam:Role,DeleteRole,service_account,svc-account-025,172.16.114.177,us-east-2,True,Success,critical,72.11,,0
evt-0000132,2025-04-02T11:59:30Z,azure,Microsoft.Authorization/roleAssignments,Microsoft.Compute/virtualMachines/write,user,user-0120,172.16.36.210,southeastasia,True,Success,low,18.39,25013.0,0
evt-0000133,2025-04-02T12:04:20Z,gcp,compute.instances,compute.instances.insert,service_account,svc-account-005,10.1.9.130,europe-west1,True,Success,low,18.5,,0
evt-0000134,2025-04-02T12:16:42Z,aws,ec2:Instance,CreateRole,assumed_role,assumed-role/deploy-role-015,192.168.0.77.142,us-east-2,True,Success,low,35.23,12487.0,0
evt-0000135,2025-04-02T12:19:47Z,azure,Microsoft.Compute/virtualMachines,Microsoft.Authorization/roleAssignments/write,assumed_role,assumed-role/deploy-role-016,192.168.0.140.205,southeastasia,True,Success,low,51.44,6210.0,0
evt-0000136,2025-04-02T12:25:04Z,gcp,iam.serviceAccounts,storage.buckets.delete,assumed_role,assumed-role/deploy-role-010,10.1.148.46,us-east1,False,Success,medium,32.66,20466.0,0
evt-0000137,2025-04-02T12:27:07Z,aws,vpc:SecurityGroup,CreateUser,service_account,svc-account-026,172.17.83.166,eu-west-1,False,Success,high,33.59,,0
evt-0000138,2025-04-02T12:33:08Z,aws,vpc:SecurityGroup,AuthorizeSecurityGroupIngress,user,user-0113,192.168.1.213.48,eu-west-1,True,Failure,low,39.79,22288.0,0
evt-0000139,2025-04-02T12:34:38Z,aws,cloudtrail:Trail,CreateUser,user,user-0148,192.168.1.47.236,us-east-2,True,Success,low,21.0,15333.0,0
evt-0000140,2025-04-02T12:38:58Z,aws,elb:LoadBalancer,RunInstances,user,user-0046,10.1.53.159,us-west-2,False,Success,low,16.94,9333.0,0
evt-0000141,2025-04-02T12:40:41Z,azure,Microsoft.Network/networkSecurityGroups,Microsoft.Resources/deployments/write,assumed_role,assumed-role/deploy-role-003,203.0.85.108,westeurope,False,Success,high,100.0,28039.0,1
evt-0000142,2025-04-02T12:44:19Z,gcp,cloudsql.instances,resourcemanager.projects.setIamPolicy,user,user-0102,192.168.1.105.216,asia-east1,False,Success,low,28.12,13408.0,0
evt-0000143,2025-04-02T12:48:17Z,aws,rds:Instance,PutBucketPublicAccessBlock,user,user-0133,192.168.1.215.12,eu-central-1,True,Success,medium,28.07,11324.0,0
evt-0000144,2025-04-02T12:51:30Z,azure,Microsoft.Web/sites,Microsoft.KeyVault/vaults/secrets/read,service_account,svc-account-019,10.0.138.252,southeastasia,True,Success,low,17.07,,0
evt-0000145,2025-04-02T13:00:41Z,aws,vpc:SecurityGroup,DisableCloudtrailLogging,user,user-0069,172.16.201.20,us-east-2,False,Success,low,40.53,9866.0,0
evt-0000146,2025-04-02T13:02:12Z,azure,Microsoft.Network/networkSecurityGroups,Microsoft.Authorization/roleAssignments/write,assumed_role,assumed-role/deploy-role-005,91.108.135.18,westeurope,False,Success,medium,100.0,25391.0,1
evt-0000147,2025-04-02T13:04:03Z,aws,lambda:Function,AuthorizeSecurityGroupIngress,service_account,svc-account-005,172.17.27.80,us-east-1,True,Success,low,37.91,,0
evt-0000148,2025-04-02T13:04:47Z,aws,lambda:Function,DescribeInstances,assumed_role,assumed-role/deploy-role-006,172.17.103.40,eu-central-1,False,Failure,medium,42.42,18960.0,0
evt-0000149,2025-04-02T13:10:48Z,aws,rds:Instance,CreateUser,service_account,svc-account-010,10.1.96.209,eu-central-1,True,Success,medium,24.47,,0
evt-0000150,2025-04-02T13:12:14Z,azure,Microsoft.KeyVault/vaults,Microsoft.Compute/virtualMachines/write,user,user-0133,192.168.0.117.93,eastus,True,Success,low,17.69,19931.0,0
evt-0000151,2025-04-02T13:17:42Z,aws,vpc:SecurityGroup,RunInstances,assumed_role,assumed-role/deploy-role-017,192.168.1.215.37,us-east-1,True,Success,medium,40.56,6411.0,0
evt-0000152,2025-04-02T13:18:45Z,aws,rds:Instance,ModifyInstanceAttribute,service_account,svc-account-016,192.168.0.107.178,eu-central-1,True,Success,medium,31.84,,0
evt-0000153,2025-04-02T13:22:27Z,aws,cloudtrail:Trail,AttachRolePolicy,service_account,svc-account-029,10.1.250.20,ap-southeast-1,True,Success,medium,26.86,,0
